track_name,track_artist,track_album_name,track_href,uri
Tailor Swif,A$AP Rocky,Tailor Swif,https://api.spotify.com/v1/tracks/5xMjhZKSo8yh5r9b5vrYRr,spotify:track:5xMjhZKSo8yh5r9b5vrYRr
Not Like Us,Kendrick Lamar,Not Like Us,https://api.spotify.com/v1/tracks/6AI3ezQ4o3HUoP6Dhudph3,spotify:track:6AI3ezQ4o3HUoP6Dhudph3
"Bent (with Kyle Richh, Jenn Carter & TaTa)","41, Kyle Richh, Jenn Carter, TaTa",41 World: Not The Album,https://api.spotify.com/v1/tracks/1haa8GXT0cl9wzRnpZG0YH,spotify:track:1haa8GXT0cl9wzRnpZG0YH
6locc 6a6y,Lil Loaded,6locc 6a6y,https://api.spotify.com/v1/tracks/3WCXvxgQ7U3mznWsQjiEMu,spotify:track:3WCXvxgQ7U3mznWsQjiEMu
Superhero (Heroes & Villains) [with Future & Chris Brown],"Metro Boomin, Future, Chris Brown",HEROES & VILLAINS,https://api.spotify.com/v1/tracks/0vjeOZ3Ft5jvAi9SBFJm1j,spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j
Loading,Central Cee,Wild West,https://api.spotify.com/v1/tracks/4vzJrkfHbCGaodPA5RY5BV,spotify:track:4vzJrkfHbCGaodPA5RY5BV
Neva Cared,Polo G,Neva Cared,https://api.spotify.com/v1/tracks/3UnYMo1aeD0o8VtHy3R8cs,spotify:track:3UnYMo1aeD0o8VtHy3R8cs
Coffin,Lil Yachty,Lil Boat 3.5,https://api.spotify.com/v1/tracks/5vDNippoMr52KpXBO9b9KQ,spotify:track:5vDNippoMr52KpXBO9b9KQ
Ready (feat. Gunna),"Lil Baby, Gunna",Street Gossip,https://api.spotify.com/v1/tracks/4F6yN5FsFW10Ucx7cLCzBh,spotify:track:4F6yN5FsFW10Ucx7cLCzBh
Russian Cream,Key Glock,Glock Bond,https://api.spotify.com/v1/tracks/03ThZweiBWFP8tOGsk6QMO,spotify:track:03ThZweiBWFP8tOGsk6QMO
3 Headed Goat (feat. Lil Baby & Polo G),"Lil Durk, Lil Baby, Polo G",Just Cause Y'all Waited 2,https://api.spotify.com/v1/tracks/6Tguhaf2uAe6OjRLsR2Tql,spotify:track:6Tguhaf2uAe6OjRLsR2Tql
Run It Up (feat. Offset & Moneybagg Yo),"Lil Tjay, Offset, Moneybagg Yo",Destined 2 Win,https://api.spotify.com/v1/tracks/1dg3qy5DjoJodawfOCgrTP,spotify:track:1dg3qy5DjoJodawfOCgrTP
On Me,Lil Baby,On Me,https://api.spotify.com/v1/tracks/4Iedi94TIaB2GGb1nMB68v,spotify:track:4Iedi94TIaB2GGb1nMB68v
N95,Kendrick Lamar,Mr. Morale & The Big Steppers,https://api.spotify.com/v1/tracks/0fX4oNGBWO3dSGUZcVdVV2,spotify:track:0fX4oNGBWO3dSGUZcVdVV2
Rich Nigga Shit (feat. Young Thug),"21 Savage, Metro Boomin, Young Thug",SAVAGE MODE II,https://api.spotify.com/v1/tracks/3ruoIF2UnoXdzK8mR61ebq,spotify:track:3ruoIF2UnoXdzK8mR61ebq
Surround Sound (feat. 21 Savage & Baby Tate),"JID, 21 Savage, Baby Tate",The Forever Story (Extended Version),https://api.spotify.com/v1/tracks/1udwFobQ1JoOdWPQrp2b6u,spotify:track:1udwFobQ1JoOdWPQrp2b6u
Imagina esse Cenário,"Matuê, Veigh",333,https://api.spotify.com/v1/tracks/2fjqfFUq64thFsqfKN01kS,spotify:track:2fjqfFUq64thFsqfKN01kS
Yes Indeed,"Lil Baby, Drake",Harder Than Ever,https://api.spotify.com/v1/tracks/6vN77lE9LK6HP2DewaN6HZ,spotify:track:6vN77lE9LK6HP2DewaN6HZ
Me Acostumbre (feat. Bad Bunny),"Arcángel, Bad Bunny",Me Acostumbre (feat. Bad Bunny),https://api.spotify.com/v1/tracks/2FIm6YsSGL5acOqSuJDh5s,spotify:track:2FIm6YsSGL5acOqSuJDh5s
We Paid (feat. 42 Dugg),"Lil Baby, 42 Dugg",My Turn (Deluxe),https://api.spotify.com/v1/tracks/6gxKUmycQX7uyMwJcweFjp,spotify:track:6gxKUmycQX7uyMwJcweFjp
