track_name,track_artist,track_album_name,track_href,uri
Summer,Calvin Harris,Motion,https://api.spotify.com/v1/tracks/6YUTL4dYpB9xZO5qExPf05,spotify:track:6YUTL4dYpB9xZO5qExPf05
Timber,"Pitbull, Kesha",Global Warming: Meltdown (Deluxe Version),https://api.spotify.com/v1/tracks/3cHyrEgdyYRjgJKSOiOtcS,spotify:track:3cHyrEgdyYRjgJKSOiOtcS
I Took A Pill In Ibiza - Seeb Remix,"Mike Posner, Seeb","At Night, Alone.",https://api.spotify.com/v1/tracks/0vbtURX4qv1l7besfwmnD8,spotify:track:0vbtURX4qv1l7besfwmnD8
Sugar (feat. Francesco Yates),"Robin Schulz, Francesco Yates",Sugar,https://api.spotify.com/v1/tracks/5tf1VVWniHgryyumXyJM7w,spotify:track:5tf1VVWniHgryyumXyJM7w
On The Floor,"Jennifer Lopez, Pitbull",Love?,https://api.spotify.com/v1/tracks/3C0nOe05EIt1390bVABLyN,spotify:track:3C0nOe05EIt1390bVABLyN
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],"Daft Punk, Pharrell Williams, Nile Rodgers",Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],https://api.spotify.com/v1/tracks/2Foc5Q5nqNiosCNqttzHof,spotify:track:2Foc5Q5nqNiosCNqttzHof
More Than You Know,Axwell /\ Ingrosso,More Than You Know,https://api.spotify.com/v1/tracks/6h5PAsRni4IRlxWr6uDPTP,spotify:track:6h5PAsRni4IRlxWr6uDPTP
Alors on danse - Radio Edit,Stromae,Cheese,https://api.spotify.com/v1/tracks/2GYHyAoLWpkxLVa4oYTVko,spotify:track:2GYHyAoLWpkxLVa4oYTVko
We Found Love,"Rihanna, Calvin Harris",Talk That Talk,https://api.spotify.com/v1/tracks/0U10zFw4GlBacOy9VDGfGL,spotify:track:0U10zFw4GlBacOy9VDGfGL
Dynamite,Taio Cruz,The Rokstarr Hits Collection,https://api.spotify.com/v1/tracks/2CEgGE6aESpnmtfiZwYlbV,spotify:track:2CEgGE6aESpnmtfiZwYlbV
I Love It (feat. Charli XCX),"Icona Pop, Charli xcx",THIS IS... ICONA POP,https://api.spotify.com/v1/tracks/2U8NXPTXZWG2O0ye2sYRiH,spotify:track:2U8NXPTXZWG2O0ye2sYRiH
Play Hard (feat. Ne-Yo & Akon),"David Guetta, Ne-Yo, Akon",Nothing but the Beat (Ultimate Edition),https://api.spotify.com/v1/tracks/5YPMEOJ58kfl56VHxTgwx3,spotify:track:5YPMEOJ58kfl56VHxTgwx3
Around the World,Daft Punk,Homework,https://api.spotify.com/v1/tracks/1pKYYY0dkg23sQQXi0Q5zN,spotify:track:1pKYYY0dkg23sQQXi0Q5zN
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",https://api.spotify.com/v1/tracks/0WbMK4wrZ1wFSty9F7FCgu,spotify:track:0WbMK4wrZ1wFSty9F7FCgu
Espresso,Sabrina Carpenter,Espresso,https://api.spotify.com/v1/tracks/2qSkIjg1o9h3YT9RAgYN75,spotify:track:2qSkIjg1o9h3YT9RAgYN75
HOT TO GO!,Chappell Roan,The Rise and Fall of a Midwest Princess,https://api.spotify.com/v1/tracks/4xdBrk0nFZaP54vvZj0yx7,spotify:track:4xdBrk0nFZaP54vvZj0yx7
Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",Move,https://api.spotify.com/v1/tracks/1BJJbSX6muJVF2AK7uH1x4,spotify:track:1BJJbSX6muJVF2AK7uH1x4
Guess featuring billie eilish,"Charli xcx, Billie Eilish",Guess featuring Billie Eilish,https://api.spotify.com/v1/tracks/3WOhcATHxK2SLNeP5W3v1v,spotify:track:3WOhcATHxK2SLNeP5W3v1v
i like the way you kiss me,Artemas,i like the way you kiss me,https://api.spotify.com/v1/tracks/2GxrNKugF82CnoRFbQfzPf,spotify:track:2GxrNKugF82CnoRFbQfzPf
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",I Had Some Help,https://api.spotify.com/v1/tracks/7221xIgOnuakPdLqT0F3nP,spotify:track:7221xIgOnuakPdLqT0F3nP
Apple,Charli xcx,BRAT,https://api.spotify.com/v1/tracks/19RybK6XDbAVpcdxSbZL1o,spotify:track:19RybK6XDbAVpcdxSbZL1o
Happier,"Marshmello, Bastille",Happier,https://api.spotify.com/v1/tracks/7BqHUALzNBTanL6OvsqmC1,spotify:track:7BqHUALzNBTanL6OvsqmC1
Miles On It,"Marshmello, Kane Brown",Miles On It,https://api.spotify.com/v1/tracks/4pkb8SbRGeHAvdb87v9rpf,spotify:track:4pkb8SbRGeHAvdb87v9rpf
Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD",Music To Be Murdered By,https://api.spotify.com/v1/tracks/7FIWs0pqAYbP91WWM0vlTQ,spotify:track:7FIWs0pqAYbP91WWM0vlTQ
on one tonight,Gunna,One of Wun,https://api.spotify.com/v1/tracks/6EUcP55GlbmsmCzfL2vxtZ,spotify:track:6EUcP55GlbmsmCzfL2vxtZ
Thank You (Not So Bad),"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",Thank You (Not So Bad),https://api.spotify.com/v1/tracks/09CnYHiZ5jGT1wr1TXJ9Zt,spotify:track:09CnYHiZ5jGT1wr1TXJ9Zt
Houdini,Eminem,Houdini,https://api.spotify.com/v1/tracks/2HYFX63wP3otVIvopRS99Z,spotify:track:2HYFX63wP3otVIvopRS99Z
BAND4BAND (feat. Lil Baby),"Central Cee, Lil Baby",BAND4BAND (feat. Lil Baby),https://api.spotify.com/v1/tracks/7iabz12vAuVQYyekFIWJxD,spotify:track:7iabz12vAuVQYyekFIWJxD
