track_name,track_artist,track_album_name,track_popularity,energy,valence,danceability,acousticness,instrumentalness,tempo,track_href,uri,cluster_label
LALA,Myke Towers,LA VIDA ES UNA,82,0.737,0.607,0.708,0.0739,0.00162,91.986,https://api.spotify.com/v1/tracks/7ABLbnD53cQK00mhcaOUVG,spotify:track:7ABLbnD53cQK00mhcaOUVG,Balanced / Versatile Mix
Lollipop,Darell,EVERYBODY GO TO THE DISCOTEK,71,0.711,0.934,0.822,0.179,1.46e-05,102.984,https://api.spotify.com/v1/tracks/3cDyocF0Ibdfs1SFQk5cLZ,spotify:track:3cDyocF0Ibdfs1SFQk5cLZ,Feel-Good Hits
Pa Ti Estoy,"Ozuna, Anuel AA, Chris Jedi",Cosmo,72,0.812,0.903,0.785,0.147,0.0,162.087,https://api.spotify.com/v1/tracks/3j5zNcb0aSk7dx3W3mAKzw,spotify:track:3j5zNcb0aSk7dx3W3mAKzw,Feel-Good Hits
Corazón Roto - Remix,"Brray, JHAYCO, Ryan Castro",Corazón Roto (Remix),69,0.794,0.796,0.843,0.226,1.22e-06,92.998,https://api.spotify.com/v1/tracks/6k5wiT5l9DK8iZmhvEvoqo,spotify:track:6k5wiT5l9DK8iZmhvEvoqo,Feel-Good Hits
El Efecto - Remix,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",El Efecto (Remix),68,0.769,0.931,0.771,0.18,1.57e-05,167.969,https://api.spotify.com/v1/tracks/74j34STf8L6uADnTN69ohv,spotify:track:74j34STf8L6uADnTN69ohv,Feel-Good Hits
BELLAKEO,"Peso Pluma, Anitta",BELLAKEO,75,0.88,0.463,0.72,0.0562,0.06,180.011,https://api.spotify.com/v1/tracks/05WVKTdZhlIMX4qqMLuo0f,spotify:track:05WVKTdZhlIMX4qqMLuo0f,Intense Hits
Si Se Da - Remix,"Myke Towers, Farruko, Arcángel, Sech, Zion",Si Se da Remix,72,0.672,0.774,0.817,0.441,0.0,93.999,https://api.spotify.com/v1/tracks/6K5BsR04ijf3FHNzjbaagD,spotify:track:6K5BsR04ijf3FHNzjbaagD,Balanced / Versatile Mix
Nada,"Cazzu, Lyanno, Rauw Alejandro, Dalex",Error 93,71,0.543,0.359,0.898,0.343,0.000623,98.992,https://api.spotify.com/v1/tracks/7DOh0tBGnyMt6C5OO7o8Yq,spotify:track:7DOh0tBGnyMt6C5OO7o8Yq,Balanced / Versatile Mix
Santa,"Rvssian, Rauw Alejandro, Ayra Starr",Santa,79,0.709,0.648,0.725,0.321,0.000189,99.993,https://api.spotify.com/v1/tracks/5bi0gh89wRuH2OgjdAKFsb,spotify:track:5bi0gh89wRuH2OgjdAKFsb,Balanced / Versatile Mix
Guay,"Ozuna, Bad Gyal",Guay,69,0.766,0.594,0.88,0.0881,1.79e-05,96.037,https://api.spotify.com/v1/tracks/1S3SAFqLBWk3HaR5UyXp43,spotify:track:1S3SAFqLBWk3HaR5UyXp43,Balanced / Versatile Mix
HASTA ABAJO,"KEVIN ROLDAN, Bryant Myers, Lyanno",KrING,69,0.671,0.641,0.714,0.292,0.0,169.727,https://api.spotify.com/v1/tracks/4PEfJZpVjdclfzZ9XO8uDw,spotify:track:4PEfJZpVjdclfzZ9XO8uDw,Feel-Good Hits
BBY BOO - REMIX,"iZaak, JHAYCO, Anuel AA",BBY BOO (REMIX),75,0.617,0.486,0.703,0.215,6.11e-06,173.97,https://api.spotify.com/v1/tracks/43PiEypaceH339CSNiggyj,spotify:track:43PiEypaceH339CSNiggyj,Intense Hits
SI NO ES CONTIGO,Cris Mj,SI NO ES CONTIGO,85,0.626,0.78,0.763,0.0859,0.225,100.02,https://api.spotify.com/v1/tracks/5Uptvz6j1sjDKxidAcnH2L,spotify:track:5Uptvz6j1sjDKxidAcnH2L,Feel-Good Hits
Gata Only,"FloyyMenor, Cris Mj",Gata Only,87,0.499,0.669,0.791,0.446,2.41e-05,99.986,https://api.spotify.com/v1/tracks/6XjDF6nds4DE2BBbagZol6,spotify:track:6XjDF6nds4DE2BBbagZol6,Balanced / Versatile Mix
ELOVRGA,"Alex Favela, Grupo Marca Registrada, Joaquin Medina",ELOVRGA,75,0.476,0.578,0.793,0.132,0.0,129.992,https://api.spotify.com/v1/tracks/2TJKY0WSFufZOzbRNgl6zE,spotify:track:2TJKY0WSFufZOzbRNgl6zE,Balanced / Versatile Mix
